Index,screen_name,count,classification,user_defined_location,class,mean,std_dev,points>100,ratio
1,Dpsairy,43,Resident,"New Delhi, India",1,1.55779047,12.06679155,1,7.576086957
2,poojaesthetic,36,Resident,"New Delhi, India",1,0.190017731,1.278398067,0,11.51851852
3,venkat_failure,36,Tourist,"Hyderabad, India",2,38.72110603,177.5206521,135,0.089371092
4,sohumsutras,36,Resident,new delhi,1,424.5182724,1942.69468,120,7.473988439
5,PairsonnalitesA,34,Resident,Asia | Australia - Pacific,2,924.5551613,2672.120321,21,0.625
6,praticram,33,Tourist,Delhi,1,73.09759839,270.6082896,84,0.043890866
7,WinsomeWears,31,Tourist,"AG04, Arcadia Market, Gurgaon",1,0.118822131,0.678476654,0,0
8,tmj_ide_jobs,29,Tourist,Delhi,1,8.525644751,14.96421419,0,0.043478261
9,sumitmalik603,28,Tourist,"New Delhi, India",1,25.21124606,176.1381554,2,49.5
10,tmj_ing_jobs,26,Tourist,"Gurgaon, India",1,1.385176439,6.925882196,0,0
11,Tapasdastnfl,26,Tourist,New Delhi,1,41.07885201,490.0715293,74,0.015631106
12,BALJINDER_TRBN_,26,Tourist,YamunaNagar Haryana,2,18.6782841,190.3972991,30,0.016488846
13,thevirat1993,21,Tourist,Kanpur Uttar Pradesh,2,79.12444028,628.1093338,155,0
14,Umeshsonprabhat,16,Tourist,"babhni Uttar Pradesh, India",2,108.4146509,221.1465355,102,0.002040816
15,kishanm05,15,Tourist,"Jaipur, India.",2,77.33424151,334.3078492,133,0.000831947
16,cheng_jiawei,14,Tourist,paris,2,37.14095312,204.3038053,39,0
17,carpoolworld,14,Tourist,"Joliette, QC",2,6886.689909,5184.488147,2971,0.0077688
18,Navpreet_R,13,Tourist,"New Delhi, India",1,0,0,0,0
19,Haritikajewelry,12,Tourist,"India, Delhi",1,296.5737494,1868.720071,17,0.223958333
20,jollyuncle,10,Resident,Delhi,1,2.264136768,3.685303575,0,6.698924731
21,WoodscapesFurn,10,Tourist,"New Delhi, India",1,0.026803465,0.22468287,0,
22,mehtabalam1,10,Resident,"New Delhi, India",1,70.53930119,605.8191488,5,11.08
23,manishseth,9,Resident,"New Delhi , India",1,358.9807926,1517.847443,141,2.544117647
24,Shridharuni,9,Resident,"Pilani, Rajasthan",2,6.738359812,26.76656118,2,
25,MNicolaas,9,Tourist,Costa Rica,2,3439.602571,4986.846655,92,
